zi,N
潇,218
潭,109
潮,225
澄,100
澈,109
澳,800
激,466
瀑,109
火,434
灭,100
灯,332
灵,316
灿,100
炉,100
炎,100
炒,976
炙,109
炭,116
点,6004
炼,100
烂,332
烊,516
烟,209
烧,432
烫,109
热,2443
焦,232
焰,116
然,3587
煎,232
照,657
煮,314
熊,1916
熟,105
熬,443
燕,100
爆,109
爬,100
爱,4436
父,209
爷,1037
爸,329
爽,209
片,2196
版,626
牌,316
牙,109
牛,798
牡,100
物,1697
牵,218
特,798
犯,325
状,457
犹,100
狂,209
狗,991
狠,109
狡,100
独,750
狮,232
狼,300
猎,116
猪,348
猫,2109
献,444
獄,116
玉,225
王,1998
玩,731
玫,116
环,309
现,2668
玺,516
珂,116
珊,116
珍,418
珠,200
班,509
球,443
理,2180
琳,109
瑕,218
瑚,116
瑜,200
瑰,116
瓜,956
瓯,116
瓶,116
甄,116
甘,325
甚,209
甜,327
生,12282
用,2687
田,1148
由,325
甲,109
申,100
电,1022
男,2157
甸,115
画,409
界,1070
畏,109
留,507
略,696
番,309
疑,309
疗,100
疤,1
疮,16
疯,209
疵,109
疹,109
疼,923
疾,100
病,823
症,325
痒,225
痔,16
痛,657
痴,218
登,100
白,1852
百,737
皂,109
的,57932
皇,606
皮,550
盆,200
盈,232
益,405
盐,116
盒,126
盖,119
盗,318
盘,541
盟,316
目,875
直,2955
相,1464
盼,209
省,3930
眉,325
看,6800
真,4397
眠,216
眨,109
眶,116
眼,1983
着,4203
睁,109
睛,100
睡,2047
睫,109
睹,100
睿,232
瞧,116
瞬,109
瞳,100
矣,109
知,2062
矫,100
短,225
石,1174
矿,600
码,100
研,418
破,550
硕,218
硬,82
确,857
碉,109
碎,299
碗,298
磁,327
磊,20
磕,327
磨,209
示,300
礼,652
社,866
祈,191
祝,1398
神,1899
票,100
福,3280
离,1182
秀,116
私,659
秃,218
秋,789
种,2348
科,282
秒,341
秘,307
租,109
秤,232
秦,525
积,225
称,609
程,550
税,100
稚,116
種,116
稳,204
稿,100
穆,100
究,861
穷,218
空,1041
穿,425
突,453
窄,109
窒,109
窗,116
窟,100
立,427
站,661
竞,109
竟,443
章,100
童,42
端,316
竹,1050
笑,1601
笔,443
笙,109
第,4079
等,1868
筋,100
筒,348
答,318
策,116
签,1095
简,425
算,565
管,424
籁,116
米,1203
类,225
粉,1371
粒,116
粗,109
粥,434
精,969
糊,216
糕,225
糖,225
糟,209
系,772
紀,116
素,713
索,100
紧,240
紫,100
累,1014
給,116
絮,100
經,116
纠,109
红,1823
纤,300
约,328
级,632
纪,298
纯,300
纵,209
纶,100
纷,318
纸,109
纹,316
线,618
练,218
组,606
细,209
织,441
终,1874
绍,116
经,1651
绑,500
绒,200
结,975
给,2648
绚,116
络,225
绝,528
绞,116
统,218
继,518
续,745
维,100
综,116
绽,116
绾,100
绿,300
缅,215
编,216
缠,109
缤,100
缩,436
缺,334
网,1196
罗,225
罢,5
罩,233
置,519
羊,225
美,5227
羞,200
羡,109
群,109
羯,348
羹,66
羽,436
翩,200
翰,109
翻,655
耀,218
老,3802
考,448
者,1767
而,1891
耍,99
耐,216
耕,100
耘,100
耳,407
耶,100
